Building,Date,Reading,Unit
Science Building,2026-08-01,3533,gal
Science Building,2026-08-02,3819,gal
Science Building,2026-08-03,3598,gal
Science Building,2026-08-04,3767,gal
Science Building,2026-08-05,3629,gal
Science Building,2026-08-06,3943,gal
Science Building,2026-08-07,3588,gal
Science Building,2026-08-08,3975,gal
Science Building,2026-08-09,3873,gal
Science Building,2026-08-10,3948,gal
Student Center,2026-08-01,4613,gal
Student Center,2026-08-02,5096,gal
Student Center,2026-08-03,5118,gal
Student Center,2026-08-04,4887,gal
Student Center,2026-08-05,4782,gal
Student Center,2026-08-06,5072,gal
Student Center,2026-08-07,4988,gal
Student Center,2026-08-08,5310,gal
Student Center,2026-08-09,5255,gal
Student Center,2026-08-10,5298,gal
Library,2026-08-01,3003,gal
Library,2026-08-02,3019,gal
Library,2026-08-03,2791,gal
Library,2026-08-04,2929,gal
Library,2026-08-05,2760,gal
Library,2026-08-06,3050,gal
Library,2026-08-07,2753,gal
Library,2026-08-08,2769,gal
Library,2026-08-09,3112,gal
Library,2026-08-10,2918,gal
Engineering Building,2026-08-01,3445,gal
Engineering Building,2026-08-02,3231,gal
Engineering Building,2026-08-03,3156,gal
Engineering Building,2026-08-04,3586,gal
Engineering Building,2026-08-05,3301,gal
Engineering Building,2026-08-06,3658,gal
Engineering Building,2026-08-07,3299,gal
Engineering Building,2026-08-08,3475,gal
Engineering Building,2026-08-09,3456,gal
Engineering Building,2026-08-10,3579,gal
Administration Building,2026-08-01,2475,gal
Administration Building,2026-08-02,2601,gal
Administration Building,2026-08-03,2384,gal
Administration Building,2026-08-04,2305,gal
Administration Building,2026-08-05,2435,gal
Administration Building,2026-08-06,2451,gal
Administration Building,2026-08-07,2401,gal
Administration Building,2026-08-08,2661,gal
Administration Building,2026-08-09,2478,gal
Administration Building,2026-08-10,2725,gal
