Building,Date,Reading,Unit
Science Building,2026-08-01,1513,kWh
Science Building,2026-08-02,1392,kWh
Science Building,2026-08-03,1385,kWh
Science Building,2026-08-04,1582,kWh
Science Building,2026-08-05,1478,kWh
Science Building,2026-08-06,1484,kWh
Science Building,2026-08-07,1494,kWh
Science Building,2026-08-08,1486,kWh
Science Building,2026-08-09,1654,kWh
Science Building,2026-08-10,1507,kWh
Student Center,2026-08-01,1273,kWh
Student Center,2026-08-02,1301,kWh
Student Center,2026-08-03,1263,kWh
Student Center,2026-08-04,1158,kWh
Student Center,2026-08-05,1299,kWh
Student Center,2026-08-06,1268,kWh
Student Center,2026-08-07,1180,kWh
Student Center,2026-08-08,1191,kWh
Student Center,2026-08-09,1219,kWh
Student Center,2026-08-10,1263,kWh
Library,2026-08-01,1009,kWh
Library,2026-08-02,1090,kWh
Library,2026-08-03,1125,kWh
Library,2026-08-04,988,kWh
Library,2026-08-05,1135,kWh
Library,2026-08-06,1052,kWh
Library,2026-08-07,1196,kWh
Library,2026-08-08,1190,kWh
Library,2026-08-09,1213,kWh
Library,2026-08-10,1184,kWh
Engineering Building,2026-08-01,1657,kWh
Engineering Building,2026-08-02,1622,kWh
Engineering Building,2026-08-03,1697,kWh
Engineering Building,2026-08-04,1750,kWh
Engineering Building,2026-08-05,1687,kWh
Engineering Building,2026-08-06,1634,kWh
Engineering Building,2026-08-07,1843,kWh
Engineering Building,2026-08-08,1706,kWh
Engineering Building,2026-08-09,1860,kWh
Engineering Building,2026-08-10,1807,kWh
Administration Building,2026-08-01,887,kWh
Administration Building,2026-08-02,880,kWh
Administration Building,2026-08-03,857,kWh
Administration Building,2026-08-04,882,kWh
Administration Building,2026-08-05,1031,kWh
Administration Building,2026-08-06,931,kWh
Administration Building,2026-08-07,880,kWh
Administration Building,2026-08-08,886,kWh
Administration Building,2026-08-09,969,kWh
Administration Building,2026-08-10,905,kWh
