Building,Date,Reading,Unit
Science Building,2026-08-01,259,lbs
Science Building,2026-08-02,245,lbs
Science Building,2026-08-03,246,lbs
Science Building,2026-08-04,211,lbs
Science Building,2026-08-05,247,lbs
Science Building,2026-08-06,252,lbs
Science Building,2026-08-07,224,lbs
Science Building,2026-08-08,250,lbs
Science Building,2026-08-09,264,lbs
Science Building,2026-08-10,236,lbs
Student Center,2026-08-01,370,lbs
Student Center,2026-08-02,393,lbs
Student Center,2026-08-03,392,lbs
Student Center,2026-08-04,389,lbs
Student Center,2026-08-05,435,lbs
Student Center,2026-08-06,420,lbs
Student Center,2026-08-07,427,lbs
Student Center,2026-08-08,422,lbs
Student Center,2026-08-09,405,lbs
Student Center,2026-08-10,438,lbs
Library,2026-08-01,170,lbs
Library,2026-08-02,205,lbs
Library,2026-08-03,203,lbs
Library,2026-08-04,204,lbs
Library,2026-08-05,160,lbs
Library,2026-08-06,173,lbs
Library,2026-08-07,213,lbs
Library,2026-08-08,165,lbs
Library,2026-08-09,215,lbs
Library,2026-08-10,186,lbs
Engineering Building,2026-08-01,255,lbs
Engineering Building,2026-08-02,250,lbs
Engineering Building,2026-08-03,239,lbs
Engineering Building,2026-08-04,251,lbs
Engineering Building,2026-08-05,298,lbs
Engineering Building,2026-08-06,303,lbs
Engineering Building,2026-08-07,282,lbs
Engineering Building,2026-08-08,304,lbs
Engineering Building,2026-08-09,296,lbs
Engineering Building,2026-08-10,273,lbs
Administration Building,2026-08-01,133,lbs
Administration Building,2026-08-02,162,lbs
Administration Building,2026-08-03,154,lbs
Administration Building,2026-08-04,150,lbs
Administration Building,2026-08-05,182,lbs
Administration Building,2026-08-06,186,lbs
Administration Building,2026-08-07,170,lbs
Administration Building,2026-08-08,160,lbs
Administration Building,2026-08-09,141,lbs
Administration Building,2026-08-10,150,lbs
